"time","L","S","E","I_S","I_A","H","R","D"
67.,0.,0.7958708729950645,0.00212699011187554,0.0001643508410720831,0.002006899774506971,0.00021786489573435048,0.19754674090116023,0.00206628044958614,""
67.5,0.,0.7961970687932355,0.0021435994278996436,0.0001656115669324065,0.0020220906477335415,0.00021946887931481834,0.19718409589888594,0.00206806475499811,""
68.,0.,0.7965204450075805,0.002160380560044828,0.00016688544720576032,0.002037440512941115,0.00022108978060733672,0.19682389643978992,0.002069862220830477,""
68.5,0.,0.7968409899837581,0.0021773350287411196,0.0001681726239830597,0.0020529509360478174,0.00022272774686254732,0.19646615066298834,0.002071672986618981,""
69.,0.,0.797158692234397,0.0021944643487556395,0.0001694732362814597,0.002068623462127707,0.00022438292510650347,0.1961108665720141,0.002073497190317551,""
69.5,0.,0.7974735402721259,0.002211770034855508,0.00017078742311811532,0.0020844596362548425,0.00022605546236525856,0.19575805217040018,0.002075334969880115,""
70.,0.,0.7977855222619358,0.002229253675175315,0.00017211531545892545,0.0021004609957403953,0.0002277455164034677,0.19540771573842186,0.0020771864658641606,""
70.5,0.,0.7980946248199613,0.002246917184729146,0.00017345700839843377,0.002116629043308974,0.00022945329283027046,0.19505986678934473,0.0020790518304270034,""
71.,0.,0.7984008355032414,0.0022647622799572757,0.0001748126188224305,0.0021329653026959435,0.00023117896819008476,0.1947145140874135,0.002080931208679258,""
71.5,0.,0.7987041420364666,0.0022827906419178065,0.00017618226749950214,0.0021494713013803972,0.00023292271384853363,0.19437166626341112,0.002082824744475947,""
72.,0.,0.7990045321443273,0.0023010039516688408,0.00017756607519823532,0.0021661485668414276,0.0002346847011712401,0.19403133194812067,0.002084732581672094,""
72.5,0.,0.7993019931809628,0.0023194039313847634,0.00017896416210976226,0.002182998646092112,0.00023646510711062,0.19369352007396867,0.0020866548673710997,""
73.,0.,0.7995965110222306,0.002337992467269577,0.00018037664612151455,0.002200023164074554,0.00023826413090708259,0.19335824077676103,0.0020885917616354725,""
73.5,0.,0.7998880724832852,0.002356771341303225,0.00018180364658469013,0.0022172236962149264,0.00024008195763929502,0.19302550342767896,0.002090543416293533,""
74.,0.,0.8001766645232599,0.0023757423194897963,0.00018324528307485854,0.002234601810349412,0.0002419187702151594,0.19269531728069933,0.002092509981911433,""
74.5,0.,0.8004622741012879,0.0023949071678333795,0.00018470167516758935,0.002252159074314194,0.00024377475154257786,0.19236769158979886,0.002094491609055327,""
75.,0.,0.8007448877936703,0.002414267636698211,0.00018617295445907313,0.002269897119929839,0.0002456500810860507,0.19204263593077717,0.0020964884523792635,""
75.5,0.,0.8010244908084674,0.0024338254205518166,0.00018765929550710415,0.002287817807696586,0.0002475449260033884,0.1917201610296261,0.0020985006811474038,""
76.,0.,0.8013010692618262,0.002453582250959759,0.00018916084435632958,0.002305922846342473,0.00024945946162021693,0.1914002768489675,0.0021005284549273375,""
76.5,0.,0.8015746093891655,0.002473539864360223,0.0001906777433063518,0.0023242139246610954,0.00025139386433496003,0.19108299325115868,0.002102571932013063,""
77.,0.,0.8018450974259039,0.0024936999971913927,0.0001922101346567731,0.0023426927314460486,0.00025334831054604144,0.19076832009855707,0.0021046312706985795,""
77.5,0.,0.8021125189947359,0.002514064423172817,0.00019375816505362648,0.0023613610032513633,0.000255322981374098,0.19045626776622174,0.0021067066351902514,""
78.,0.,0.8023768578948547,0.002534635026975381,0.00019532199407815506,0.00238022061876868,0.00025731807199332545,0.19014684815503957,0.0021087982072899637,""
78.5,0.,0.8026380994435733,0.0025554136008996255,0.00019690177054264825,0.0023992733383557804,0.00025933376587790655,0.1898400718955997,0.0021109061541507994,""
79.,0.,0.8028962291164006,0.0025764019276206277,0.0001984976421372151,0.0024185209100394483,0.00026137024528282267,0.18953594948611968,0.0021130306413993604,""
79.5,0.,0.8031512323888456,0.0025976017898134657,0.00020010975655196473,0.0024379650818464682,0.0002634276924630553,0.18923449142481702,0.002115171834662249,""
80.,0.,0.8034030947364169,0.0026190149701532162,0.00020173826147700625,0.0024576076018036253,0.0002655062896735858,0.1889357082099093,0.002117329899566067,""
80.5,0.,0.8036518016346238,0.0026406432513149565,0.00020338330460244877,0.002477450217937704,0.0002676062191693954,0.18863961033961404,0.0021195050017374165,""
81.,0.,0.8038973379691841,0.002662488466324896,0.00020504503338383544,0.0024974947077180455,0.0002697276706991209,0.1883462088092965,0.0021216973123932836,""
81.5,0.,0.8041396854580836,0.002684552718642242,0.0002067235940168696,0.002517743006748251,0.0002718708742593846,0.18805551728447317,0.002123907032776283,""
82.,0.,0.8043788279301356,0.0027068379315223867,0.0002084191335367525,0.002538196945258698,0.00027403603302744657,0.1877675476513975,0.0021261343441213634,""
82.5,0.,0.8046147496820817,0.0027293459882731567,0.00021013179916478528,0.0025588583301206363,0.0002762233442352527,0.187482311401896,0.0021283794232281775,""
83.,0.,0.8048474350106635,0.002752078772202378,0.000211861738122269,0.002579728968205316,0.00027843300511474914,0.18719982002779526,0.0021306424468963774,""
